ORDER_ID,ORDER_DATE,PRODUCT_ID,CUSTOMER_ID,QUANTITY,PRICE,PAYMENT_STATUS,DAYS_TO_PAY,PRODUCT,UNIT_COST,LISTED_PRICE,GROSS_PROFIT,TOTAL_COGS,GROSS_MARGIN
10033,6/26/2025,638,214,1,$168.28,PAID,54,Surgical Supplies,$120.76,$177.64,$47.52,$120.76,28.24%
10034,2/19/2024,608,493,449,"$1,854.86",OVERDUE,,Personal Protective Equipment,$3.28,$4.61,$382.14,"$1,472.72",20.60%
10035,10/21/2024,619,615,226,"$4,203.74",OVERDUE,,Patient Care,$11.72,$19.21,"$1,555.02","$2,648.72",36.99%
10036,5/31/2025,600,319,1,$316.84,PAID,32,Surgical Supplies,$244.89,$366.51,$71.95,$244.89,22.71%
10037,10/30/2025,571,201,420,$414.94,PAID,11,Patient Care,$0.76,$1.00,$95.74,$319.20,23.07%
10038,9/27/2024,602,583,38,"$2,821.87",PAID,5,Diagnostics,$49.69,$76.50,$933.65,"$1,888.22",33.09%
10039,4/9/2025,513,248,435,"$1,719.62",PAID,12,Personal Protective Equipment,$2.80,$4.33,$501.62,"$1,218.00",29.17%
10040,5/18/2025,641,551,296,"$4,544.40",PAID,38,Patient Care,$11.59,$17.07,"$1,113.76","$3,430.64",24.51%
10041,2/27/2024,551,400,454,"$5,173.58",OVERDUE,,Patient Care,$7.86,$13.04,"$1,605.14","$3,568.44",31.03%
10042,10/14/2025,527,177,180,$733.09,PAID,11,Patient Care,$2.47,$4.08,$288.49,$444.60,39.35%
10043,12/20/2025,634,106,23,"$1,258.42",PAID,1,Diagnostics,$43.61,$60.86,$255.39,"$1,003.03",20.29%
10044,7/18/2025,602,466,22,"$1,657.12",PAID,15,Diagnostics,$49.69,$76.50,$563.94,"$1,093.18",34.03%
10045,4/14/2024,616,290,385,$864.52,PAID,59,Personal Protective Equipment,$1.42,$2.33,$317.82,$546.70,36.76%
10046,2/27/2024,650,111,1,$616.83,DENIED,,Surgical Supplies,$447.19,$629.64,$169.64,$447.19,27.50%
10047,3/5/2024,640,126,1,$382.40,PAID,45,Surgical Supplies,$259.06,$407.45,$123.34,$259.06,32.25%
10048,9/22/2024,574,395,79,$461.52,PAID,13,Personal Protective Equipment,$5.06,$6.84,$61.78,$399.74,13.39%
10049,5/14/2024,512,478,482,"$6,437.84",OVERDUE,,Patient Care,$10.56,$15.24,"$1,347.92","$5,089.92",20.94%
10050,7/13/2024,680,613,164,$199.65,DENIED,,Personal Protective Equipment,$0.92,$1.30,$48.77,$150.88,24.43%
10051,2/18/2024,617,276,44,"$1,388.88",PAID,11,Diagnostics,$21.47,$33.10,$444.20,$944.68,31.98%
10052,8/26/2025,557,225,49,"$4,588.56",PAID,20,Diagnostics,$67.62,$103.27,"$1,275.18","$3,313.38",27.79%
10053,3/4/2025,560,215,1,$238.35,PAID,34,Surgical Supplies,$165.10,$280.28,$73.25,$165.10,30.73%
10054,7/11/2024,594,199,267,$587.54,PAID,2,Personal Protective Equipment,$1.60,$2.50,$160.34,$427.20,27.29%
10055,10/26/2024,679,632,416,"$5,136.76",DENIED,,Personal Protective Equipment,$8.77,$12.53,"$1,488.44","$3,648.32",28.98%
10056,12/21/2025,544,413,165,"$2,619.92",PAID,34,Patient Care,$10.70,$16.36,$854.42,"$1,765.50",32.61%
10057,8/17/2025,655,184,41,"$3,196.37",PAID,26,Lab Equipment,$56.85,$83.99,$865.52,"$2,330.85",27.08%
10058,9/15/2025,560,203,5,"$1,201.86",PAID,17,Surgical Supplies,$165.10,$280.28,$376.36,$825.50,31.31%
10059,11/13/2025,648,281,3,"$2,077.91",PAID,18,Surgical Supplies,$451.55,$764.83,$723.26,"$1,354.65",34.81%
10060,3/19/2025,677,522,10,$344.09,PAID,36,Lab Equipment,$23.40,$38.03,$110.09,$234.00,31.99%
10061,11/17/2024,624,645,3,"$1,652.23",PAID,52,Surgical Supplies,$447.47,$595.87,$309.82,"$1,342.41",18.75%
10062,1/4/2025,585,138,38,$845.75,OVERDUE,,Diagnostics,$16.91,$22.68,$203.17,$642.58,24.02%
10063,1/12/2024,577,645,117,$570.72,OVERDUE,,Personal Protective Equipment,$3.07,$4.92,$211.53,$359.19,37.06%
10064,9/27/2025,581,435,36,"$3,071.89",PAID,17,Diagnostics,$60.54,$99.47,$892.45,"$2,179.44",29.05%
10065,2/2/2024,564,460,17,"$1,487.86",PAID,18,Lab Equipment,$58.84,$96.19,$487.58,"$1,000.28",32.77%
10066,4/27/2024,574,147,303,"$1,993.14",OVERDUE,,Personal Protective Equipment,$5.06,$6.84,$459.96,"$1,533.18",23.08%
10067,10/9/2024,585,473,42,$869.29,PAID,22,Diagnostics,$16.91,$22.68,$159.07,$710.22,18.30%
10068,4/21/2024,554,550,18,"$1,030.75",PAID,40,Lab Equipment,$42.70,$61.63,$262.15,$768.60,25.43%
10069,12/10/2025,547,339,446,"$1,035.80",OVERDUE,,Personal Protective Equipment,$1.64,$2.59,$304.36,$731.44,29.38%
10070,11/9/2025,529,389,3,"$1,522.33",PAID,49,Surgical Supplies,$339.66,$574.91,$503.35,"$1,018.98",33.06%
10071,11/3/2025,530,347,3,"$1,597.70",DENIED,,Surgical Supplies,$355.07,$578.40,$532.49,"$1,065.21",33.33%
10072,7/29/2025,532,584,21,"$1,064.82",PAID,50,Diagnostics,$34.94,$59.07,$331.08,$733.74,31.09%
10073,11/8/2025,567,287,4,"$2,620.05",PAID,12,Surgical Supplies,$477.06,$738.28,$711.81,"$1,908.24",27.17%
10074,8/6/2024,599,555,393,$779.79,PAID,23,Patient Care,$1.25,$2.07,$288.54,$491.25,37.00%
10075,11/20/2025,612,398,2,"$1,183.18",PAID,43,Surgical Supplies,$473.40,$649.01,$236.38,$946.80,19.98%
10076,12/30/2024,540,494,32,"$2,796.55",PAID,38,Lab Equipment,$65.43,$91.11,$702.79,"$2,093.76",25.13%
10077,3/15/2024,513,350,389,"$1,561.19",OVERDUE,,Personal Protective Equipment,$2.80,$4.33,$471.99,"$1,089.20",30.23%
10078,3/4/2025,597,608,15,$892.89,PAID,49,Lab Equipment,$37.61,$62.45,$328.74,$564.15,36.82%
10079,3/29/2024,511,322,211,"$1,104.47",DENIED,,Patient Care,$3.30,$5.24,$408.17,$696.30,36.96%
10080,12/11/2024,516,636,298,"$2,896.77",PAID,10,Patient Care,$7.04,$10.24,$798.85,"$2,097.92",27.58%
10081,2/10/2025,517,143,347,"$5,625.61",PENDING,,Personal Protective Equipment,$11.84,$16.82,"$1,517.13","$4,108.48",26.97%
10082,12/1/2024,663,412,2,"$1,198.74",PAID,20,Surgical Supplies,$468.78,$671.02,$261.18,$937.56,21.79%
10083,6/23/2025,575,359,3,"$1,626.64",PAID,10,Surgical Supplies,$327.14,$545.77,$645.22,$981.42,39.67%
10084,1/23/2024,575,112,2,$931.53,PAID,1,Surgical Supplies,$327.14,$545.77,$277.25,$654.28,29.76%
10085,2/20/2025,578,269,11,$805.03,PAID,5,Diagnostics,$59.33,$83.60,$152.40,$652.63,18.93%
10086,7/4/2025,670,526,104,$219.48,PAID,23,Patient Care,$1.79,$2.41,$33.32,$186.16,15.18%
10087,7/28/2025,642,196,1,$302.31,PAID,53,Surgical Supplies,$217.95,$322.83,$84.36,$217.95,27.91%
10088,4/16/2024,570,274,332,"$3,870.30",PAID,1,Patient Care,$7.35,$12.25,"$1,430.10","$2,440.20",36.95%
10089,1/23/2024,637,329,438,"$8,311.28",OVERDUE,,Personal Protective Equipment,$11.85,$19.79,"$3,120.98","$5,190.30",37.55%
10090,12/28/2024,632,548,1,$383.96,PAID,31,Surgical Supplies,$304.64,$433.54,$79.32,$304.64,20.66%
10091,5/6/2024,531,513,366,$452.98,PAID,51,Personal Protective Equipment,$0.91,$1.44,$119.92,$333.06,26.47%
10092,12/20/2024,585,229,43,$829.56,PAID,56,Diagnostics,$16.91,$22.68,$102.43,$727.13,12.35%
10093,4/5/2024,616,290,319,$739.57,PAID,6,Personal Protective Equipment,$1.42,$2.33,$286.59,$452.98,38.75%
10094,6/13/2025,549,356,142,"$1,342.29",PAID,4,Patient Care,$7.36,$10.61,$297.17,"$1,045.12",22.14%
10095,10/17/2024,606,252,46,"$3,644.34",PAID,58,Lab Equipment,$49.01,$82.70,"$1,389.88","$2,254.46",38.14%
10096,5/31/2024,646,134,36,"$1,851.80",PAID,29,Lab Equipment,$40.46,$53.64,$395.24,"$1,456.56",21.34%
10097,2/10/2024,563,525,102,"$1,233.75",DENIED,,Patient Care,$9.06,$14.20,$309.63,$924.12,25.10%
10098,6/22/2025,679,559,301,"$3,510.08",OVERDUE,,Personal Protective Equipment,$8.77,$12.53,$870.31,"$2,639.77",24.79%
10099,2/13/2024,584,181,37,"$2,569.34",PAID,46,Diagnostics,$43.35,$70.38,$965.39,"$1,603.95",37.57%
10100,2/17/2025,662,477,440,"$2,643.97",OVERDUE,,Personal Protective Equipment,$3.98,$6.69,$892.77,"$1,751.20",33.77%
10100,2/17/2025,662,477,440,"$2,643.97",OVERDUE,,Personal Protective Equipment,$3.98,$6.69,$892.77,"$1,751.20",33.77%
10101,8/31/2025,597,405,26,"$1,512.88",PAID,44,Lab Equipment,$37.61,$62.45,$535.02,$977.86,35.36%
10102,11/29/2025,657,580,1,$460.05,PAID,38,Surgical Supplies,$356.31,$509.76,$103.74,$356.31,22.55%
10103,3/1/2025,623,335,3,$573.15,PAID,37,Surgical Supplies,$126.16,$204.34,$194.67,$378.48,33.96%
10104,8/18/2024,608,631,82,$336.73,PAID,59,Personal Protective Equipment,$3.28,$4.61,$67.77,$268.96,20.13%
10105,2/10/2025,504,169,156,"$1,948.07",OVERDUE,,Patient Care,$7.93,$12.53,$710.99,"$1,237.08",36.50%
10106,12/9/2024,540,136,28,"$2,470.62",PAID,39,Lab Equipment,$65.43,$91.11,$638.58,"$1,832.04",25.85%
10107,8/14/2024,570,317,76,$891.50,DENIED,,Patient Care,$7.35,$12.25,$332.90,$558.60,37.34%
10108,2/9/2025,534,326,48,"$3,321.28",PAID,30,Diagnostics,$52.34,$71.97,$808.96,"$2,512.32",24.36%
10109,7/5/2024,671,392,412,$974.50,PAID,33,Personal Protective Equipment,$1.94,$2.71,$175.22,$799.28,17.98%
10110,5/25/2024,622,290,19,"$1,680.05",PAID,56,Lab Equipment,$69.28,$91.64,$363.73,"$1,316.32",21.65%
10111,2/25/2025,606,362,12,$977.87,PAID,5,Lab Equipment,$49.01,$82.70,$389.75,$588.12,39.86%
10112,7/13/2024,606,523,21,"$1,485.04",PAID,16,Lab Equipment,$49.01,$82.70,$455.83,"$1,029.21",30.69%
10113,8/29/2025,543,192,34,"$1,982.00",PAID,49,Diagnostics,$43.16,$68.18,$514.56,"$1,467.44",25.96%
10114,12/2/2024,512,594,373,"$5,184.67",PAID,4,Patient Care,$10.56,$15.24,"$1,245.79","$3,938.88",24.03%
10115,6/17/2025,639,432,36,$978.95,PAID,32,Lab Equipment,$20.92,$28.29,$225.83,$753.12,23.07%
10116,9/19/2025,626,645,350,"$2,992.62",OVERDUE,,Personal Protective Equipment,$6.01,$8.89,$889.12,"$2,103.50",29.71%
10117,12/30/2024,534,405,37,"$2,656.87",PAID,6,Diagnostics,$52.34,$71.97,$720.29,"$1,936.58",27.11%
10118,6/19/2024,654,377,164,"$1,215.86",OVERDUE,,Personal Protective Equipment,$4.68,$7.60,$448.34,$767.52,36.87%
10119,10/7/2024,588,407,41,"$1,810.90",PAID,20,Lab Equipment,$36.06,$48.69,$332.44,"$1,478.46",18.36%
10120,7/8/2024,605,500,47,"$3,199.79",PAID,35,Diagnostics,$49.04,$72.37,$894.91,"$2,304.88",27.97%
10121,5/12/2024,673,165,232,$431.30,PAID,19,Personal Protective Equipment,$1.21,$2.03,$150.58,$280.72,34.91%
10122,1/4/2024,591,163,29,"$1,372.73",PAID,22,Lab Equipment,$39.95,$55.50,$214.18,"$1,158.55",15.60%
10123,11/4/2024,513,569,170,$721.70,PAID,52,Personal Protective Equipment,$2.80,$4.33,$245.70,$476.00,34.04%
10124,10/7/2025,577,546,341,"$1,534.55",OVERDUE,,Personal Protective Equipment,$3.07,$4.92,$487.68,"$1,046.87",31.78%
10125,11/29/2025,533,148,48,$883.39,OVERDUE,,Diagnostics,$15.12,$19.78,$157.63,$725.76,17.84%
10126,3/4/2024,620,312,241,"$2,960.23",PAID,43,Patient Care,$7.60,$12.77,"$1,128.63","$1,831.60",38.13%
10127,1/21/2024,571,527,392,$374.22,PAID,49,Patient Care,$0.76,$1.00,$76.30,$297.92,20.39%
10128,7/10/2025,653,209,268,"$4,333.36",DENIED,,Patient Care,$11.21,$18.90,"$1,329.08","$3,004.28",30.67%
10129,6/16/2024,568,257,1,$250.51,PAID,20,Surgical Supplies,$177.57,$274.30,$72.94,$177.57,29.12%
10130,7/4/2024,557,257,22,"$1,935.58",PAID,36,Diagnostics,$67.62,$103.27,$447.94,"$1,487.64",23.14%
10131,9/21/2025,550,377,2,$644.02,PAID,29,Surgical Supplies,$262.73,$378.42,$118.56,$525.46,18.41%
10132,3/4/2025,595,646,253,"$3,858.34",OVERDUE,,Personal Protective Equipment,$10.99,$16.89,"$1,077.87","$2,780.47",27.94%
10133,3/20/2024,572,542,126,"$1,118.36",PAID,18,Personal Protective Equipment,$6.82,$10.21,$259.04,$859.32,23.16%
10134,9/29/2024,579,399,38,"$1,528.47",PAID,46,Diagnostics,$32.66,$44.06,$287.39,"$1,241.08",18.80%
10135,6/25/2024,508,502,109,$978.37,OVERDUE,,Patient Care,$6.17,$10.04,$305.84,$672.53,31.26%
10136,4/24/2024,519,554,30,"$1,395.73",PAID,57,Diagnostics,$36.56,$48.52,$298.93,"$1,096.80",21.42%
10137,7/26/2025,613,450,39,"$2,333.23",DENIED,,Lab Equipment,$38.49,$64.11,$832.12,"$1,501.11",35.66%
10138,3/23/2024,580,480,1,$219.63,PAID,34,Surgical Supplies,$137.40,$226.80,$82.23,$137.40,37.44%
10139,4/23/2025,578,179,18,"$1,325.47",PAID,12,Diagnostics,$59.33,$83.60,$257.53,"$1,067.94",19.43%
10140,7/7/2024,529,299,2,"$1,042.34",PAID,25,Surgical Supplies,$339.66,$574.91,$363.02,$679.32,34.83%
10141,8/11/2025,521,372,330,"$4,321.07",DENIED,,Personal Protective Equipment,$11.14,$15.24,$644.87,"$3,676.20",14.92%
10142,12/28/2025,638,283,2,$307.57,PAID,35,Surgical Supplies,$120.76,$177.64,$66.05,$241.52,21.47%
10143,10/8/2025,678,345,23,"$1,549.37",PAID,24,Diagnostics,$47.78,$69.51,$450.43,"$1,098.94",29.07%
10144,6/4/2025,553,623,26,$971.48,PAID,30,Diagnostics,$24.52,$40.57,$333.96,$637.52,34.38%
10145,1/5/2025,680,284,55,$70.55,PAID,39,Personal Protective Equipment,$0.92,$1.30,$19.95,$50.60,28.28%
10146,3/31/2024,642,365,2,$612.48,PAID,1,Surgical Supplies,$217.95,$322.83,$176.58,$435.90,28.83%
10147,10/2/2025,520,194,428,"$3,686.58",PAID,9,Patient Care,$6.08,$9.27,"$1,084.34","$2,602.24",29.41%
10148,2/19/2024,561,424,473,"$5,211.07",PAID,16,Patient Care,$8.25,$12.32,"$1,308.82","$3,902.25",25.12%
10149,7/17/2024,651,238,1,$599.53,PAID,57,Surgical Supplies,$371.71,$620.94,$227.82,$371.71,38.00%
10150,7/21/2024,671,527,240,$560.19,DENIED,,Personal Protective Equipment,$1.94,$2.71,$94.59,$465.60,16.89%
10151,8/20/2025,554,119,39,"$2,340.73",PAID,45,Lab Equipment,$42.70,$61.63,$675.43,"$1,665.30",28.86%
10152,10/24/2025,646,277,11,$515.86,PAID,34,Lab Equipment,$40.46,$53.64,$70.80,$445.06,13.72%
10153,7/23/2024,619,390,275,"$4,527.36",OVERDUE,,Patient Care,$11.72,$19.21,"$1,304.36","$3,223.00",28.81%
10154,4/19/2024,519,281,44,"$1,886.86",PAID,51,Diagnostics,$36.56,$48.52,$278.22,"$1,608.64",14.75%
10155,12/30/2025,642,403,1,$302.57,PAID,57,Surgical Supplies,$217.95,$322.83,$84.62,$217.95,27.97%
10156,6/13/2024,572,268,78,$751.09,DENIED,,Personal Protective Equipment,$6.82,$10.21,$219.13,$531.96,29.17%
10157,9/11/2025,681,430,37,$636.47,OVERDUE,,Lab Equipment,$15.27,$19.91,$71.48,$564.99,11.23%
10158,9/5/2025,668,414,87,$916.86,OVERDUE,,Patient Care,$8.52,$11.71,$175.62,$741.24,19.15%
10159,3/18/2025,634,202,38,"$2,014.20",PAID,34,Diagnostics,$43.61,$60.86,$357.02,"$1,657.18",17.73%
10160,2/19/2025,509,135,430,$851.05,PAID,26,Personal Protective Equipment,$1.66,$2.22,$137.25,$713.80,16.13%
10161,8/6/2025,569,193,30,"$1,028.86",PAID,43,Lab Equipment,$21.45,$35.87,$385.36,$643.50,37.46%
10162,4/10/2025,552,390,26,"$1,078.91",PAID,5,Diagnostics,$34.38,$47.83,$185.03,$893.88,17.15%
10163,12/30/2025,609,409,39,"$1,349.87",PAID,18,Diagnostics,$24.36,$38.09,$399.83,$950.04,29.62%
10164,11/25/2025,666,522,229,"$4,017.20",OVERDUE,,Personal Protective Equipment,$11.96,$19.07,"$1,278.36","$2,738.84",31.82%
10165,3/27/2025,577,117,364,"$1,663.53",DENIED,,Personal Protective Equipment,$3.07,$4.92,$546.05,"$1,117.48",32.82%
10166,9/8/2025,520,512,368,"$2,915.68",DENIED,,Patient Care,$6.08,$9.27,$678.24,"$2,237.44",23.26%
10167,7/3/2025,666,532,118,"$2,135.06",DENIED,,Personal Protective Equipment,$11.96,$19.07,$723.78,"$1,411.28",33.90%
10168,11/9/2024,677,447,36,"$1,258.09",PAID,33,Lab Equipment,$23.40,$38.03,$415.69,$842.40,33.04%
10169,8/22/2025,561,636,57,$599.95,OVERDUE,,Patient Care,$8.25,$12.32,$129.70,$470.25,21.62%
10170,5/6/2025,503,645,21,"$1,930.77",PAID,37,Lab Equipment,$71.80,$94.91,$422.97,"$1,507.80",21.91%
10171,11/7/2025,601,113,5,"$2,820.86",DENIED,,Surgical Supplies,$344.49,$577.36,"$1,098.41","$1,722.45",38.94%
10172,8/11/2025,520,233,114,"$1,040.69",PAID,40,Patient Care,$6.08,$9.27,$347.57,$693.12,33.40%
10173,6/5/2024,519,355,47,"$1,952.64",PAID,58,Diagnostics,$36.56,$48.52,$234.32,"$1,718.32",12.00%
10174,11/13/2024,513,549,213,$785.48,OVERDUE,,Personal Protective Equipment,$2.80,$4.33,$189.08,$596.40,24.07%
10175,7/11/2024,638,502,4,$668.13,PAID,49,Surgical Supplies,$120.76,$177.64,$185.09,$483.04,27.70%
10176,10/29/2024,576,476,455,"$2,284.06",OVERDUE,,Personal Protective Equipment,$3.68,$5.57,$609.66,"$1,674.40",26.69%
10177,8/27/2025,504,215,280,"$3,194.00",PENDING,,Patient Care,$7.93,$12.53,$973.60,"$2,220.40",30.48%
10178,7/22/2024,653,107,370,"$6,349.78",DENIED,,Patient Care,$11.21,$18.90,"$2,202.08","$4,147.70",34.68%
10179,1/11/2025,542,473,45,"$3,031.94",PAID,57,Diagnostics,$52.54,$73.54,$667.64,"$2,364.30",22.02%
10180,8/23/2024,638,339,2,$320.28,PAID,1,Surgical Supplies,$120.76,$177.64,$78.76,$241.52,24.59%
10181,12/11/2024,633,507,73,$253.02,OVERDUE,,Personal Protective Equipment,$2.59,$3.84,$63.95,$189.07,25.27%
10182,3/20/2024,666,513,303,"$5,095.19",PAID,42,Personal Protective Equipment,$11.96,$19.07,"$1,471.31","$3,623.88",28.88%
10183,10/19/2025,665,564,1,$560.63,PAID,48,Surgical Supplies,$378.10,$642.03,$182.53,$378.10,32.56%
10184,5/15/2024,676,211,26,"$2,218.13",PAID,29,Lab Equipment,$65.31,$85.69,$520.07,"$1,698.06",23.45%
10185,11/23/2024,677,197,21,$705.76,DENIED,,Lab Equipment,$23.40,$38.03,$214.36,$491.40,30.37%
10186,9/17/2024,543,231,11,$719.12,PAID,39,Diagnostics,$43.16,$68.18,$244.36,$474.76,33.98%
10187,7/1/2025,635,453,45,"$3,779.12",PAID,19,Lab Equipment,$53.43,$89.43,"$1,374.77","$2,404.35",36.38%
10188,10/17/2024,534,564,33,"$2,232.96",PAID,4,Diagnostics,$52.34,$71.97,$505.74,"$1,727.22",22.65%
10189,9/27/2025,520,250,121,"$1,014.26",PAID,2,Patient Care,$6.08,$9.27,$278.58,$735.68,27.47%
10190,3/23/2025,618,482,14,$577.44,OVERDUE,,Diagnostics,$27.91,$46.18,$186.70,$390.74,32.33%
10191,5/12/2024,627,218,44,"$2,593.38",PAID,48,Diagnostics,$36.22,$59.80,$999.70,"$1,593.68",38.55%
10192,1/12/2024,643,258,83,$247.71,PENDING,,Personal Protective Equipment,$2.00,$3.26,$81.71,$166.00,32.99%
10193,9/19/2025,627,278,16,$839.89,PAID,31,Diagnostics,$36.22,$59.80,$260.37,$579.52,31.00%
10194,11/20/2025,660,493,16,"$1,448.37",DENIED,,Diagnostics,$58.99,$97.26,$504.53,$943.84,34.83%
10195,2/7/2025,619,445,395,"$7,332.89",OVERDUE,,Patient Care,$11.72,$19.21,"$2,703.49","$4,629.40",36.87%
10196,12/18/2025,645,610,3,$943.80,PAID,58,Surgical Supplies,$209.15,$329.51,$316.35,$627.45,33.52%
10197,11/7/2024,677,619,43,"$1,572.41",DENIED,,Lab Equipment,$23.40,$38.03,$566.21,"$1,006.20",36.01%
10198,9/27/2025,608,140,359,"$1,444.95",PAID,36,Personal Protective Equipment,$3.28,$4.61,$267.43,"$1,177.52",18.51%
10199,3/8/2025,528,244,4,"$1,196.28",PAID,2,Surgical Supplies,$213.55,$311.65,$342.08,$854.20,28.60%
10200,1/4/2024,511,346,254,"$1,143.53",DENIED,,Patient Care,$3.30,$5.24,$305.33,$838.20,26.70%
10200,1/4/2024,511,346,254,"$1,143.53",DENIED,,Patient Care,$3.30,$5.24,$305.33,$838.20,26.70%
10201,1/27/2024,597,188,38,"$2,123.61",PAID,54,Lab Equipment,$37.61,$62.45,$694.43,"$1,429.18",32.70%
10202,7/31/2024,526,487,205,"$3,002.07",PAID,59,Patient Care,$10.83,$16.53,$781.92,"$2,220.15",26.05%
10203,6/29/2024,533,114,34,$622.85,PAID,50,Diagnostics,$15.12,$19.78,$108.77,$514.08,17.46%
10204,7/13/2024,649,414,17,"$1,281.57",PAID,22,Lab Equipment,$47.06,$76.52,$481.55,$800.02,37.58%
10205,5/7/2024,533,490,27,$477.34,DENIED,,Diagnostics,$15.12,$19.78,$69.10,$408.24,14.48%
10206,12/2/2024,649,335,23,"$1,730.56",PAID,52,Lab Equipment,$47.06,$76.52,$648.18,"$1,082.38",37.45%
10207,1/20/2024,538,322,30,"$2,951.41",PAID,49,Lab Equipment,$70.97,$102.23,$822.31,"$2,129.10",27.86%
10208,3/13/2025,568,230,4,$980.98,PAID,2,Surgical Supplies,$177.57,$274.30,$270.70,$710.28,27.59%
10209,6/13/2025,536,116,35,"$3,172.63",PAID,13,Diagnostics,$68.20,$98.92,$785.63,"$2,387.00",24.76%
10210,9/11/2025,658,266,2,$823.41,PAID,36,Surgical Supplies,$349.59,$454.72,$124.23,$699.18,15.09%
10211,9/16/2025,602,340,37,"$2,453.36",PENDING,,Diagnostics,$49.69,$76.50,$614.83,"$1,838.53",25.06%
10212,12/2/2025,595,361,368,"$6,138.30",PAID,24,Personal Protective Equipment,$10.99,$16.89,"$2,093.98","$4,044.32",34.11%
