ORDER_ID,ORDER_DATE,PRODUCT_ID,CUSTOMER_ID,QUANTITY,PRICE,PAYMENT_STATUS,DAYS_TO_PAY,,UNIT_COST,LISTED_PRICE,GROSS_PROFIT,TOTAL_COGS,GROSS_MARGIN
10030,6/8/2025,564,103,42,4005.93,PAID,53,,58.84,96.19,1534.65,,38.31%
10031,10/23/2025,559,116,5,2049.13,PAID,49,,313.19,413.43,483.18,,23.58%
10032,10/8/2024,588,481,41,1915.28,PAID,23,,36.06,48.69,436.82,,22.81%
10033,6/26/2025,638,214,1,168.28,PAID,54,,120.76,177.64,47.52,,28.24%
10034,2/19/2024,608,493,449,1854.86,OVERDUE,,,3.28,4.61,382.14,,20.60%
10035,10/21/2024,619,615,226,4203.74,OVERDUE,,,11.72,19.21,1555.02,,36.99%
10036,5/31/2025,600,319,1,316.84,PAID,32,,244.89,366.51,71.95,,22.71%
10037,10/30/2025,571,201,420,414.94,PAID,11,,0.76,1,95.74,,23.07%
10038,9/27/2024,602,583,38,2821.87,PAID,5,,49.69,76.5,933.65,,33.09%
10039,4/9/2025,513,248,435,1719.62,PAID,12,,2.8,4.33,501.62,,29.17%
10040,5/18/2025,641,551,296,4544.4,PAID,38,,11.59,17.07,1113.76,,24.51%
10041,2/27/2024,551,400,454,5173.58,OVERDUE,,,7.86,13.04,1605.14,,31.03%
10042,10/14/2025,527,177,180,733.09,PAID,11,,2.47,4.08,288.49,,39.35%
10043,12/20/2025,634,106,23,1258.42,PAID,1,,43.61,60.86,255.39,,20.29%
10044,7/18/2025,602,466,22,1657.12,PAID,15,,49.69,76.5,563.94,,34.03%
10045,4/14/2024,616,290,385,864.52,PAID,59,,1.42,2.33,317.82,,36.76%
10046,2/27/2024,650,111,1,616.83,DENIED,,,447.19,629.64,169.64,,27.50%
10047,3/5/2024,640,126,1,382.4,PAID,45,,259.06,407.45,123.34,,32.25%
10048,9/22/2024,574,395,79,461.52,PAID,13,,5.06,6.84,61.78,,13.39%
10049,5/14/2024,512,478,482,6437.84,OVERDUE,,,10.56,15.24,1347.92,,20.94%
10050,7/13/2024,680,613,164,199.65,DENIED,,,0.92,1.3,48.77,,24.43%
10051,2/18/2024,617,276,44,1388.88,PAID,11,,21.47,33.1,444.2,,31.98%
10052,8/26/2025,557,225,49,4588.56,PAID,20,,67.62,103.27,1275.18,,27.79%
10053,3/4/2025,560,215,1,238.35,PAID,34,,165.1,280.28,73.25,,30.73%
10054,7/11/2024,594,199,267,587.54,PAID,2,,1.6,2.5,160.34,,27.29%
10055,10/26/2024,679,632,416,5136.76,DENIED,,,8.77,12.53,1488.44,,28.98%
10056,12/21/2025,544,413,165,2619.92,PAID,34,,10.7,16.36,854.42,,32.61%
10057,8/17/2025,655,184,41,3196.37,PAID,26,,56.85,83.99,865.52,,27.08%
10058,9/15/2025,560,203,5,1201.86,PAID,17,,165.1,280.28,376.36,,31.31%
10059,11/13/2025,648,281,3,2077.91,PAID,18,,451.55,764.83,723.26,,34.81%
10060,3/19/2025,677,522,10,344.09,PAID,36,,23.4,38.03,110.09,,31.99%
10061,11/17/2024,624,645,3,1652.23,PAID,52,,447.47,595.87,309.82,,18.75%
10062,1/4/2025,585,138,38,845.75,OVERDUE,,,16.91,22.68,203.17,,24.02%
10063,1/12/2024,577,645,117,570.72,OVERDUE,,,3.07,4.92,211.53,,37.06%
10064,9/27/2025,581,435,36,3071.89,PAID,17,,60.54,99.47,892.45,,29.05%
10065,2/2/2024,564,460,17,1487.86,PAID,18,,58.84,96.19,487.58,,32.77%
10066,4/27/2024,574,147,303,1993.14,OVERDUE,,,5.06,6.84,459.96,,23.08%
10067,10/9/2024,585,473,42,869.29,PAID,22,,16.91,22.68,159.07,,18.30%
10068,4/21/2024,554,550,18,1030.75,PAID,40,,42.7,61.63,262.15,,25.43%
10069,12/10/2025,547,339,446,1035.8,OVERDUE,,,1.64,2.59,304.36,,29.38%
10070,11/9/2025,529,389,3,1522.33,PAID,49,,339.66,574.91,503.35,,33.06%
10071,11/3/2025,530,347,3,1597.7,DENIED,,,355.07,578.4,532.49,,33.33%
10072,7/29/2025,532,584,21,1064.82,PAID,50,,34.94,59.07,331.08,,31.09%
10073,11/8/2025,567,287,4,2620.05,PAID,12,,477.06,738.28,711.81,,27.17%
10074,8/6/2024,599,555,393,779.79,PAID,23,,1.25,2.07,288.54,,37.00%
10075,11/20/2025,612,398,2,1183.18,PAID,43,,473.4,649.01,236.38,,19.98%
10076,12/30/2024,540,494,32,2796.55,PAID,38,,65.43,91.11,702.79,,25.13%
10077,3/15/2024,513,350,389,1561.19,OVERDUE,,,2.8,4.33,471.99,,30.23%
10078,3/4/2025,597,608,15,892.89,PAID,49,,37.61,62.45,328.74,,36.82%
10079,3/29/2024,511,322,211,1104.47,DENIED,,,3.3,5.24,408.17,,36.96%
10080,12/11/2024,516,636,298,2896.77,PAID,10,,7.04,10.24,798.85,,27.58%
10081,2/10/2025,517,143,347,5625.61,PENDING,,,11.84,16.82,1517.13,,26.97%
10082,12/1/2024,663,412,2,1198.74,PAID,20,,468.78,671.02,261.18,,21.79%
10083,6/23/2025,575,359,3,1626.64,PAID,10,,327.14,545.77,645.22,,39.67%
10084,1/23/2024,575,112,2,931.53,PAID,1,,327.14,545.77,277.25,,29.76%
10085,2/20/2025,578,269,11,805.03,PAID,5,,59.33,83.6,152.4,,18.93%
10086,7/4/2025,670,526,104,219.48,PAID,23,,1.79,2.41,33.32,,15.18%
10087,7/28/2025,642,196,1,302.31,PAID,53,,217.95,322.83,84.36,,27.91%
10088,4/16/2024,570,274,332,3870.3,PAID,1,,7.35,12.25,1430.1,,36.95%
10089,1/23/2024,637,329,438,8311.28,OVERDUE,,,11.85,19.79,3120.98,,37.55%
10090,12/28/2024,632,548,1,383.96,PAID,31,,304.64,433.54,79.32,,20.66%
10091,5/6/2024,531,513,366,452.98,PAID,51,,0.91,1.44,119.92,,26.47%
10092,12/20/2024,585,229,43,829.56,PAID,56,,16.91,22.68,102.43,,12.35%
10093,4/5/2024,616,290,319,739.57,PAID,6,,1.42,2.33,286.59,,38.75%
10094,6/13/2025,549,356,142,1342.29,PAID,4,,7.36,10.61,297.17,,22.14%
10095,10/17/2024,606,252,46,3644.34,PAID,58,,49.01,82.7,1389.88,,38.14%
10096,5/31/2024,646,134,36,1851.8,PAID,29,,40.46,53.64,395.24,,21.34%
10097,2/10/2024,563,525,102,1233.75,DENIED,,,9.06,14.2,309.63,,25.10%
10098,6/22/2025,679,559,301,3510.08,OVERDUE,,,8.77,12.53,870.31,,24.79%
10099,2/13/2024,584,181,37,2569.34,PAID,46,,43.35,70.38,965.39,,37.57%
10100,2/17/2025,662,477,440,2643.97,OVERDUE,,,3.98,6.69,892.77,,33.77%
10100,2/17/2025,662,477,440,2643.97,OVERDUE,,,3.98,6.69,892.77,,33.77%
10101,8/31/2025,597,405,26,1512.88,PAID,44,,37.61,62.45,535.02,,35.36%
10102,11/29/2025,657,580,1,460.05,PAID,38,,356.31,509.76,103.74,,22.55%
10103,3/1/2025,623,335,3,573.15,PAID,37,,126.16,204.34,194.67,,33.96%
10104,8/18/2024,608,631,82,336.73,PAID,59,,3.28,4.61,67.77,,20.13%
10105,2/10/2025,504,169,156,1948.07,OVERDUE,,,7.93,12.53,710.99,,36.50%
10106,12/9/2024,540,136,28,2470.62,PAID,39,,65.43,91.11,638.58,,25.85%
10107,8/14/2024,570,317,76,891.5,DENIED,,,7.35,12.25,332.9,,37.34%
10108,2/9/2025,534,326,48,3321.28,PAID,30,,52.34,71.97,808.96,,24.36%
10109,7/5/2024,671,392,412,974.5,PAID,33,,1.94,2.71,175.22,,17.98%
10110,5/25/2024,622,290,19,1680.05,PAID,56,,69.28,91.64,363.73,,21.65%
10111,2/25/2025,606,362,12,977.87,PAID,5,,49.01,82.7,389.75,,39.86%
10112,7/13/2024,606,523,21,1485.04,PAID,16,,49.01,82.7,455.83,,30.69%
10113,8/29/2025,543,192,34,1982,PAID,49,,43.16,68.18,514.56,,25.96%
10114,12/2/2024,512,594,373,5184.67,PAID,4,,10.56,15.24,1245.79,,24.03%
10115,6/17/2025,639,432,36,978.95,PAID,32,,20.92,28.29,225.83,,23.07%
10116,9/19/2025,626,645,350,2992.62,OVERDUE,,,6.01,8.89,889.12,,29.71%
10117,12/30/2024,534,405,37,2656.87,PAID,6,,52.34,71.97,720.29,,27.11%
10118,6/19/2024,654,377,164,1215.86,OVERDUE,,,4.68,7.6,448.34,,36.87%
10119,10/7/2024,588,407,41,1810.9,PAID,20,,36.06,48.69,332.44,,18.36%
10120,7/8/2024,605,500,47,3199.79,PAID,35,,49.04,72.37,894.91,,27.97%
10121,5/12/2024,673,165,232,431.3,PAID,19,,1.21,2.03,150.58,,34.91%
10122,1/4/2024,591,163,29,1372.73,PAID,22,,39.95,55.5,214.18,,15.60%
10123,11/4/2024,513,569,170,721.7,PAID,52,,2.8,4.33,245.7,,34.04%
10124,10/7/2025,577,546,341,1534.55,OVERDUE,,,3.07,4.92,487.68,,31.78%
10125,11/29/2025,533,148,48,883.39,OVERDUE,,,15.12,19.78,157.63,,17.84%
10126,3/4/2024,620,312,241,2960.23,PAID,43,,7.6,12.77,1128.63,,38.13%
10127,1/21/2024,571,527,392,374.22,PAID,49,,0.76,1,76.3,,20.39%
10128,7/10/2025,653,209,268,4333.36,DENIED,,,11.21,18.9,1329.08,,30.67%
10129,6/16/2024,568,257,1,250.51,PAID,20,,177.57,274.3,72.94,,29.12%
10130,7/4/2024,557,257,22,1935.58,PAID,36,,67.62,103.27,447.94,,23.14%
10131,9/21/2025,550,377,2,644.02,PAID,29,,262.73,378.42,118.56,,18.41%
10132,3/4/2025,595,646,253,3858.34,OVERDUE,,,10.99,16.89,1077.87,,27.94%
10133,3/20/2024,572,542,126,1118.36,PAID,18,,6.82,10.21,259.04,,23.16%
10134,9/29/2024,579,399,38,1528.47,PAID,46,,32.66,44.06,287.39,,18.80%
10135,6/25/2024,508,502,109,978.37,OVERDUE,,,6.17,10.04,305.84,,31.26%
10136,4/24/2024,519,554,30,1395.73,PAID,57,,36.56,48.52,298.93,,21.42%
10137,7/26/2025,613,450,39,2333.23,DENIED,,,38.49,64.11,832.12,,35.66%
10138,3/23/2024,580,480,1,219.63,PAID,34,,137.4,226.8,82.23,,37.44%
10139,4/23/2025,578,179,18,1325.47,PAID,12,,59.33,83.6,257.53,,19.43%
10140,7/7/2024,529,299,2,1042.34,PAID,25,,339.66,574.91,363.02,,34.83%
10141,8/11/2025,521,372,330,4321.07,DENIED,,,11.14,15.24,644.87,,14.92%
10142,12/28/2025,638,283,2,307.57,PAID,35,,120.76,177.64,66.05,,21.47%
10143,10/8/2025,678,345,23,1549.37,PAID,24,,47.78,69.51,450.43,,29.07%
10144,6/4/2025,553,623,26,971.48,PAID,30,,24.52,40.57,333.96,,34.38%
10145,1/5/2025,680,284,55,70.55,PAID,39,,0.92,1.3,19.95,,28.28%
10146,3/31/2024,642,365,2,612.48,PAID,1,,217.95,322.83,176.58,,28.83%
10147,10/2/2025,520,194,428,3686.58,PAID,9,,6.08,9.27,1084.34,,29.41%
10148,2/19/2024,561,424,473,5211.07,PAID,16,,8.25,12.32,1308.82,,25.12%
10149,7/17/2024,651,238,1,599.53,PAID,57,,371.71,620.94,227.82,,38.00%
10150,7/21/2024,671,527,240,560.19,DENIED,,,1.94,2.71,94.59,,16.89%
10151,8/20/2025,554,119,39,2340.73,PAID,45,,42.7,61.63,675.43,,28.86%
10152,10/24/2025,646,277,11,515.86,PAID,34,,40.46,53.64,70.8,,13.72%
10153,7/23/2024,619,390,275,4527.36,OVERDUE,,,11.72,19.21,1304.36,,28.81%
10154,4/19/2024,519,281,44,1886.86,PAID,51,,36.56,48.52,278.22,,14.75%
10155,12/30/2025,642,403,1,302.57,PAID,57,,217.95,322.83,84.62,,27.97%
10156,6/13/2024,572,268,78,751.09,DENIED,,,6.82,10.21,219.13,,29.17%
10157,9/11/2025,681,430,37,636.47,OVERDUE,,,15.27,19.91,71.48,,11.23%
10158,9/5/2025,668,414,87,916.86,OVERDUE,,,8.52,11.71,175.62,,19.15%
10159,3/18/2025,634,202,38,2014.2,PAID,34,,43.61,60.86,357.02,,17.73%
10160,2/19/2025,509,135,430,851.05,PAID,26,,1.66,2.22,137.25,,16.13%
10161,8/6/2025,569,193,30,1028.86,PAID,43,,21.45,35.87,385.36,,37.46%
10162,4/10/2025,552,390,26,1078.91,PAID,5,,34.38,47.83,185.03,,17.15%
10163,12/30/2025,609,409,39,1349.87,PAID,18,,24.36,38.09,399.83,,29.62%
10164,11/25/2025,666,522,229,4017.2,OVERDUE,,,11.96,19.07,1278.36,,31.82%
10165,3/27/2025,577,117,364,1663.53,DENIED,,,3.07,4.92,546.05,,32.82%
10166,9/8/2025,520,512,368,2915.68,DENIED,,,6.08,9.27,678.24,,23.26%
10167,7/3/2025,666,532,118,2135.06,DENIED,,,11.96,19.07,723.78,,33.90%
10168,11/9/2024,677,447,36,1258.09,PAID,33,,23.4,38.03,415.69,,33.04%
10169,8/22/2025,561,636,57,599.95,OVERDUE,,,8.25,12.32,129.7,,21.62%
10170,5/6/2025,503,645,21,1930.77,PAID,37,,71.8,94.91,422.97,,21.91%
10171,11/7/2025,601,113,5,2820.86,DENIED,,,344.49,577.36,1098.41,,38.94%
10172,8/11/2025,520,233,114,1040.69,PAID,40,,6.08,9.27,347.57,,33.40%
10173,6/5/2024,519,355,47,1952.64,PAID,58,,36.56,48.52,234.32,,12.00%
10174,11/13/2024,513,549,213,785.48,OVERDUE,,,2.8,4.33,189.08,,24.07%
10175,7/11/2024,638,502,4,668.13,PAID,49,,120.76,177.64,185.09,,27.70%
10176,10/29/2024,576,476,455,2284.06,OVERDUE,,,3.68,5.57,609.66,,26.69%
10177,8/27/2025,504,215,280,3194,PENDING,,,7.93,12.53,973.6,,30.48%
10178,7/22/2024,653,107,370,6349.78,DENIED,,,11.21,18.9,2202.08,,34.68%
10179,1/11/2025,542,473,45,3031.94,PAID,57,,52.54,73.54,667.64,,22.02%
10180,8/23/2024,638,339,2,320.28,PAID,1,,120.76,177.64,78.76,,24.59%
10181,12/11/2024,633,507,73,253.02,OVERDUE,,,2.59,3.84,63.95,,25.27%
10182,3/20/2024,666,513,303,5095.19,PAID,42,,11.96,19.07,1471.31,,28.88%
10183,10/19/2025,665,564,1,560.63,PAID,48,,378.1,642.03,182.53,,32.56%
10184,5/15/2024,676,211,26,2218.13,PAID,29,,65.31,85.69,520.07,,23.45%
10185,11/23/2024,677,197,21,705.76,DENIED,,,23.4,38.03,214.36,,30.37%
10186,9/17/2024,543,231,11,719.12,PAID,39,,43.16,68.18,244.36,,33.98%
10187,7/1/2025,635,453,45,3779.12,PAID,19,,53.43,89.43,1374.77,,36.38%
10188,10/17/2024,534,564,33,2232.96,PAID,4,,52.34,71.97,505.74,,22.65%
10189,9/27/2025,520,250,121,1014.26,PAID,2,,6.08,9.27,278.58,,27.47%
10190,3/23/2025,618,482,14,577.44,OVERDUE,,,27.91,46.18,186.7,,32.33%
10191,5/12/2024,627,218,44,2593.38,PAID,48,,36.22,59.8,999.7,,38.55%
10192,1/12/2024,643,258,83,247.71,PENDING,,,2,3.26,81.71,,32.99%
10193,9/19/2025,627,278,16,839.89,PAID,31,,36.22,59.8,260.37,,31.00%
10194,11/20/2025,660,493,16,1448.37,DENIED,,,58.99,97.26,504.53,,34.83%
10195,2/7/2025,619,445,395,7332.89,OVERDUE,,,11.72,19.21,2703.49,,36.87%
10196,12/18/2025,645,610,3,943.8,PAID,58,,209.15,329.51,316.35,,33.52%
10197,11/7/2024,677,619,43,1572.41,DENIED,,,23.4,38.03,566.21,,36.01%
10198,9/27/2025,608,140,359,1444.95,PAID,36,,3.28,4.61,267.43,,18.51%
10199,3/8/2025,528,244,4,1196.28,PAID,2,,213.55,311.65,342.08,,28.60%
10200,1/4/2024,511,346,254,1143.53,DENIED,,,3.3,5.24,305.33,,26.70%
10200,1/4/2024,511,346,254,1143.53,DENIED,,,3.3,5.24,305.33,,26.70%
10201,1/27/2024,597,188,38,2123.61,PAID,54,,37.61,62.45,694.43,,32.70%
10202,7/31/2024,526,487,205,3002.07,PAID,59,,10.83,16.53,781.92,,26.05%
10203,6/29/2024,533,114,34,622.85,PAID,50,,15.12,19.78,108.77,,17.46%
10204,7/13/2024,649,414,17,1281.57,PAID,22,,47.06,76.52,481.55,,37.58%
10205,5/7/2024,533,490,27,477.34,DENIED,,,15.12,19.78,69.1,,14.48%
10206,12/2/2024,649,335,23,1730.56,PAID,52,,47.06,76.52,648.18,,37.45%
10207,1/20/2024,538,322,30,2951.41,PAID,49,,70.97,102.23,822.31,,27.86%
10208,3/13/2025,568,230,4,980.98,PAID,2,,177.57,274.3,270.7,,27.59%
10209,6/13/2025,536,116,35,3172.63,PAID,13,,68.2,98.92,785.63,,24.76%
10210,9/11/2025,658,266,2,823.41,PAID,36,,349.59,454.72,124.23,,15.09%
10211,9/16/2025,602,340,37,2453.36,PENDING,,,49.69,76.5,614.83,,25.06%
10212,12/2/2025,595,361,368,6138.3,PAID,24,,10.99,16.89,2093.98,,34.11%
10213,4/30/2025,618,432,32,1277.97,PAID,56,,27.91,46.18,384.85,,30.11%
10214,10/5/2025,561,283,470,5143.29,PENDING,,,8.25,12.32,1265.79,,24.61%
10215,11/18/2024,620,560,488,6173.21,OVERDUE,,,7.6,12.77,2464.41,,39.92%
10216,3/22/2025,655,131,46,3858.51,PAID,42,,56.85,83.99,1243.41,,32.23%
10217,3/30/2025,641,137,207,3514.1,DENIED,,,11.59,17.07,1114.97,,31.73%
10218,1/22/2024,569,170,21,703.87,PAID,39,,21.45,35.87,253.42,,36.00%
10219,4/29/2024,601,303,3,1619.82,PAID,45,,344.49,577.36,586.35,,36.20%
10220,9/24/2024,586,225,27,3038.03,DENIED,,,72.41,112.59,1082.96,,35.65%
10221,6/19/2024,542,593,48,3420.4,PAID,54,,52.54,73.54,898.48,,26.27%
10222,4/25/2025,557,324,41,4079.59,PAID,18,,67.62,103.27,1307.17,,32.04%
10223,1/28/2024,622,125,11,931.48,PAID,56,,69.28,91.64,169.4,,18.19%
10224,2/25/2024,552,291,29,1385,PAID,26,,34.38,47.83,387.98,,28.01%
10225,2/23/2025,570,527,126,1499.41,DENIED,,,7.35,12.25,573.31,,38.24%
10226,10/25/2025,603,196,377,2369.48,OVERDUE,,,4,6.73,861.48,,36.36%
10227,3/14/2025,589,634,165,276.55,PAID,24,,1.28,1.7,65.35,,23.63%
10228,10/10/2024,502,167,1,553.17,PAID,13,,449.5,603.68,103.67,,18.74%
10229,7/20/2024,501,365,4,2124.22,DENIED,,,435.39,623.59,382.66,,18.01%
10230,12/30/2025,681,374,18,314.8,PAID,26,,15.27,19.91,39.94,,12.69%
10231,8/2/2024,512,191,435,6109.11,OVERDUE,,,10.56,15.24,1515.51,,24.81%
10232,7/25/2025,528,451,1,271.4,DENIED,,,213.55,311.65,57.85,,21.32%
10233,5/28/2025,627,483,29,1505.68,PAID,15,,36.22,59.8,455.3,,30.24%
10234,4/9/2025,630,403,407,5907.18,PAID,35,,10.04,15.35,1820.9,,30.83%
10235,12/5/2024,602,618,21,1504.24,DENIED,,,49.69,76.5,460.75,,30.63%
10236,4/12/2024,568,175,1,252.8,PAID,43,,177.57,274.3,75.23,,29.76%
10237,7/8/2025,581,492,15,1326.81,PAID,2,,60.54,99.47,418.71,,31.56%
10238,6/12/2025,621,169,133,1702.68,PENDING,,,8.93,13.11,514.99,,30.25%
10239,6/27/2025,673,129,81,153.13,OVERDUE,,,1.21,2.03,55.12,,36.00%
10240,7/23/2024,573,137,26,561.48,PAID,8,,15.18,22.18,166.8,,29.71%
10241,1/31/2025,661,547,3,800.69,PAID,22,,188.79,272.99,234.32,,29.26%
10242,9/28/2025,651,180,1,574.29,PAID,55,,371.71,620.94,202.58,,35.27%
10243,2/8/2025,625,134,5,1229.9,PAID,31,,169.64,253.23,381.7,,31.04%
10244,6/12/2024,529,415,2,1032.17,PAID,52,,339.66,574.91,352.85,,34.19%
10245,2/8/2025,625,373,3,685.54,PAID,39,,169.64,253.23,176.62,,25.76%
10246,10/3/2025,536,298,38,3625.28,PAID,50,,68.2,98.92,1033.68,,28.51%
10247,9/25/2024,671,179,365,982.59,DENIED,,,1.94,2.71,274.49,,27.94%
10248,7/9/2024,583,119,47,4983.83,PAID,49,,73.36,110.17,1535.91,,30.82%
10249,12/17/2024,545,491,447,1301.44,PAID,49,,1.89,3.2,456.61,,35.08%
10250,7/27/2024,615,465,28,1525.78,PAID,33,,36.67,55.26,499.02,,32.71%
10251,6/18/2024,658,211,1,397.85,PAID,47,,349.59,454.72,48.26,,12.13%
10252,12/24/2024,677,323,27,990.71,PAID,4,,23.4,38.03,358.91,,36.23%
10253,12/22/2025,620,600,100,1224.98,PENDING,,,7.6,12.77,464.98,,37.96%
10254,9/22/2025,669,636,261,981.59,DENIED,,,2.75,4.09,263.84,,26.88%
10255,10/7/2025,528,641,2,559.07,PAID,18,,213.55,311.65,131.97,,23.61%
10256,12/9/2024,532,211,15,803.21,PAID,57,,34.94,59.07,279.11,,34.75%
10257,1/30/2025,550,104,3,1067.45,PAID,1,,262.73,378.42,279.26,,26.16%
10258,4/22/2024,670,624,405,970.64,OVERDUE,,,1.79,2.41,245.69,,25.31%
10259,5/11/2025,537,227,33,2032.25,OVERDUE,,,38.5,62.18,761.75,,37.48%
10260,6/21/2025,636,449,16,1129.56,PAID,45,,55,79.32,249.56,,22.09%
10261,5/22/2025,577,525,169,772.53,PAID,29,,3.07,4.92,253.7,,32.84%
10262,8/1/2025,522,231,17,742.38,PAID,29,,32.15,46.02,195.83,,26.38%
10263,11/22/2024,678,601,33,1953.92,PAID,17,,47.78,69.51,377.18,,19.30%
10264,3/26/2025,526,466,104,1645.81,PAID,21,,10.83,16.53,519.49,,31.56%
10265,11/21/2024,626,643,298,2478.95,PAID,13,,6.01,8.89,687.97,,27.75%
10266,1/10/2024,582,298,234,1448.42,DENIED,,,4.8,6.61,325.22,,22.45%
10267,9/19/2024,598,495,12,716.46,PAID,9,,43.35,61.73,196.26,,27.39%
10268,9/16/2024,520,122,217,1733.14,OVERDUE,,,6.08,9.27,413.78,,23.87%
10269,5/22/2025,556,142,46,2222.93,PAID,26,,35.37,48.4,595.91,,26.81%
10270,3/3/2025,595,359,242,3948.51,OVERDUE,,,10.99,16.89,1288.93,,32.64%
10271,1/5/2024,562,137,45,1088.4,PAID,25,,15.78,25.18,378.3,,34.76%
10272,10/5/2025,508,323,278,2645.8,OVERDUE,,,6.17,10.04,930.54,,35.17%
10273,5/8/2024,513,569,57,227.63,PAID,14,,2.8,4.33,68.03,,29.89%
10274,2/7/2025,590,255,42,3103.35,PAID,23,,57.87,82.38,672.81,,21.68%
10275,8/10/2024,553,588,35,1214.04,PAID,43,,24.52,40.57,355.84,,29.31%
10276,8/6/2024,587,547,4,1684.69,PAID,47,,302.85,474.19,473.29,,28.09%
10277,7/8/2025,628,262,234,743.77,PAID,37,,2.32,3.54,200.89,,27.01%
10278,9/1/2025,573,606,25,483.66,PAID,57,,15.18,22.18,104.16,,21.54%
10279,7/3/2024,603,557,426,2684.06,PAID,33,,4,6.73,980.06,,36.51%
10280,6/2/2025,562,367,28,674.2,PAID,11,,15.78,25.18,232.36,,34.46%
10281,2/9/2024,578,246,49,3861.96,PAID,40,,59.33,83.6,954.79,,24.72%
10282,11/20/2025,647,197,366,1548.82,PAID,26,,2.76,4.61,538.66,,34.78%
10283,4/28/2024,670,109,465,954.25,PAID,59,,1.79,2.41,121.9,,12.77%
10284,8/13/2025,508,279,178,1568.69,PAID,30,,6.17,10.04,470.43,,29.99%
10285,8/21/2024,639,352,18,461.49,PAID,21,,20.92,28.29,84.93,,18.40%
10286,10/5/2025,526,582,153,2339.7,OVERDUE,,,10.83,16.53,682.71,,29.18%
10287,2/18/2024,521,234,436,6327.04,OVERDUE,,,11.14,15.24,1470,,23.23%
10288,4/9/2024,501,129,3,1713.64,PAID,41,,435.39,623.59,407.47,,23.78%
10289,4/26/2024,617,325,31,947.77,PAID,4,,21.47,33.1,282.2,,29.78%
10290,6/23/2025,581,290,34,3166.32,PAID,21,,60.54,99.47,1107.96,,34.99%
10291,7/5/2025,518,404,111,1025.73,DENIED,,,7,9.58,248.73,,24.25%
10292,3/16/2024,522,220,27,1096.92,PAID,56,,32.15,46.02,228.87,,20.86%
10293,5/17/2024,590,328,13,947.95,DENIED,,,57.87,82.38,195.64,,20.64%
10294,4/3/2025,670,602,165,375.18,PAID,40,,1.79,2.41,79.83,,21.28%
10295,4/6/2024,534,637,38,2575.17,DENIED,,,52.34,71.97,586.25,,22.77%
10296,7/20/2024,595,594,82,1345.77,OVERDUE,,,10.99,16.89,444.59,,33.04%
